,reduction,size,delta,run,PHAT_time
193,binning,93,0.1,aab3d591695b4d9393258a6859dd3eee,0.013986668999677931
194,binning,93,0.1,b5e3080cb25d4810aa63cb150cbed4a6,0.014059924000321189
195,binning,93,0.1,c08743b1b6724c8faa115cab13fa8a06,0.014084239999647252
196,binning,93,0.1,178a422f84b34d44ad97b19e18371d8f,0.014269191000494175
197,binning,93,0.1,286e767f20d14f9498e321e1af1c06a4,0.014147920000141312
198,binning,93,0.1,271fd17b720f44a9af632a7109ee347d,0.01406107399998291
199,binning,93,0.1,70a84a249c12435192a17f0bad441a8e,0.014101894999839715
200,binning,19,0.2,e5472b91856e44a2ae2b11257468549d,0.004096455999388127
201,binning,19,0.2,ab469852a4cb405bbbeef34532aa52ca,0.004023077000056219
202,binning,19,0.2,aa54e6e556e54750b8fd83e312f484c9,0.004027166000014404
203,binning,19,0.2,19b09bd8af6c4c3880f6b2c127cf4f2a,0.004032473999359354
204,binning,19,0.2,de823e00cd8b4379a7b4cacb01e94d88,0.004072194999935164
205,binning,19,0.2,e350407350f749b08aad493ff13216ef,0.00395160100015346
206,binning,19,0.2,d0f4be57bbe14356807e8679dd2d4c5d,0.003981898999882105
207,binning,19,0.2,0dcb6164c7af4815a0a63139aa506ca8,0.004518079000263242
208,binning,19,0.2,1e26ff57b5d14341974803038a619c9f,0.004075014000591182
209,binning,19,0.2,d32a2ccfb581466cb4b7d0c395886b08,0.004045154999403167
210,binning,19,0.2,aa922e981a644ef48d8542c929349a24,0.004016488000161189
211,binning,19,0.2,8a686fe5e0474e8b994ab23d5a0114c0,0.004010193999420153
212,binning,19,0.2,5a4076ba03ee477d870dab3fc376ff69,0.004063451999172685
213,binning,19,0.2,9f46ce4ef074429bb56c89d53e076947,0.004006107999884989
214,binning,19,0.2,69fa48f9d5104324b9ba3c5e855ec150,0.004038353999931132
215,binning,19,0.2,69821e7e30914ac89040188be1eeb13a,0.004011942999568419
216,binning,19,0.2,70661ec51c664c1a8d84cc34b16111b0,0.006591293000383303
217,binning,19,0.2,dea8980c9a2942d7ae104b2c7345c8d6,0.0040171889995690435
218,binning,19,0.2,1e6076a6a5d945c297480f145d1e5912,0.004737530000056722
219,binning,19,0.2,53d0980e89014b96aa9d75791bf47eba,0.004088559000592795
220,induced,589,0.002,63d55a2bbb214cac8146ef26bbf0a253,0.08157686300000933
221,induced,589,0.002,92a0c01071ed4a3c9fcf14abf85035f8,0.08181703199988988
222,induced,589,0.002,1ef33e81b1134b5aaac7beb54ec16ebc,0.08077341199987131
223,induced,589,0.002,ac68c13886f743c9916e234a437d27b3,0.08132174699949246
224,induced,589,0.002,eb3dc5f2c4064946b5e01cfc901c5fab,0.08069577300011588
225,induced,589,0.002,802ad03a66534603954dcf15ee1a758c,0.08120012900053553
226,induced,589,0.002,536fa6ac40024781a855bda4aa8be26b,0.08515824200003408
227,induced,589,0.002,fa258994267847179446dc7bf28dbdb4,0.0812812459998895
228,induced,589,0.002,8eac3496d2ee496c96bad9daf319eecd,0.0811716329999399
229,induced,589,0.002,50f3b8e8bc3848548be9690de179f7b8,0.08103526699960639
230,induced,589,0.002,a99adc54fc644a2aafedbacbd0a3917d,0.08187652200012963
231,induced,589,0.002,25a94c7e332d40279724e7ee29066e16,0.08189302099981433
232,induced,589,0.002,b1d6bfd382b6458a8999a32fc6d2dc01,0.081233771999905
233,induced,589,0.002,960b96bbc82c4582bc70e5da9b8754b6,0.0830202150000332
234,induced,589,0.002,1da926a832ec4da9b9a0e939fc11d50d,0.08563629299987952
235,induced,589,0.002,7d497b78f65f4e51afc66fb691c7af98,0.08076334700035659
236,induced,589,0.002,67f53488730c4ed8a2ecf14dcfa6afed,0.08082754000042769
237,induced,589,0.002,c0501466f94f4a88924856c14f286736,0.08078329099953407
238,induced,589,0.002,c8737dfb56744a32a0cb399343b8bfba,0.081698616999347
239,induced,589,0.002,5d1ae450d36d4b06bb3ecba4497ff00e,0.08140800500041223
240,induced,537,0.005,d29d7cd8dadf43e2b32f10a1d31049fc,0.07375654899988149
241,induced,537,0.005,7f5a492eb9d340598900ba90a789b7bd,0.07356193400028133
242,induced,537,0.005,98e2596be54f4d7fabf7891ebd43c353,0.07362290099990787
243,induced,537,0.005,002502f1d5d644fb8a3792b05051ba49,0.07424132699998154
244,induced,537,0.005,eae18645c7e945e1ac3eec8a4c6174c8,0.0738676970004235
245,induced,537,0.005,51e5fc00795341f282f2291ba2f31a78,0.07406410099974892
246,induced,537,0.005,50d653bb83804e97ab5894df2ea5042d,0.07439129500016861
247,induced,537,0.005,df3cd40bb4554688be25e8c5399cdd4b,0.07383636299982754
248,induced,537,0.005,6b833967379543b2aa78d518d759f83d,0.07442002599964326
249,induced,537,0.005,c0f5eb953b6e4efd9d2617bf5f862944,0.07394604900036938
250,induced,537,0.005,128a78739c9c482dbf52f5485294f3ff,0.07405488599943055
251,induced,537,0.005,75e991b6a56f4bc19c87671738f62ecb,0.07417645399982575
252,induced,537,0.005,b994a227bd134879b06f982626184eba,0.07457690400042338
253,induced,537,0.005,f4d5aa71f0ab4117ab3a082c27daa3a6,0.07370023900057276
254,induced,537,0.005,ddb0406fc1b041c7b3011d129aebca6f,0.07363165600054344
255,induced,537,0.005,e0c1b5f2699e44669a1b8c6e609953e4,0.07393901700015704
256,induced,537,0.005,0425782c9757458784bd0de5c5da5adc,0.07381361900024785
257,induced,537,0.005,f9f024919faf4800b2d3ad813c39ef13,0.07501970599969354
258,induced,537,0.005,20e14e11f54e41b6a0cb3ef487144751,0.07393616699937411
259,induced,537,0.005,c9248457278b47d0a85ad19b08660aad,0.07466193399977783
260,induced,499,0.01,1e9dabe01b04487994c78b27660120e5,0.06885964299999614
261,induced,499,0.01,b380477ea019417f961297d909b85100,0.0693870169998263
262,induced,499,0.01,34c5749f0cf3422aaa7f450ed3ffdd4c,0.06991584400020656
263,induced,499,0.01,b56bffe5d9314e6aa53993d8181429da,0.07283245100006752
264,induced,499,0.01,ecc13751cb8946199c2e5c890d534f91,0.10266531300021597
265,induced,499,0.01,10890593b10b4e31829aafb30618a4f8,0.111545863000174
266,induced,499,0.01,e6485fda9c374cf398febcd4133ac2ea,0.08888464499978
267,induced,499,0.01,5e7f0fb5d55e49479e6a34ff78b8451d,0.0750507180000568
268,induced,499,0.01,629989c3bebf4362b8e8497967d3f2b3,0.07107544700011204
269,induced,499,0.01,802d43fcb4f1433dab4003b530326659,0.07074441799977649
270,induced,499,0.01,42c60c7dbc054c19abb8a635646b236e,0.06990433200007828
271,induced,499,0.01,0a45c83aa4144cecb71fd2dae56b37c5,0.07033178200072143
272,induced,499,0.01,b833a582925e4e72a17cbfaf7e9c7890,0.07036547099960444
273,induced,499,0.01,cd6b98a596ba4f8c8b185122791067f0,0.07059424199997011
274,induced,499,0.01,5e320ebcbfcc4fae987615a2d31a29d3,0.07407486700049049
275,induced,499,0.01,5385547cb7484fd892350995da51c071,0.06921975200020825
276,induced,499,0.01,82e8374149e24f919884401660fdc412,0.06954385800054297
277,induced,499,0.01,537b98236e4348b49d546b0bad04e4bd,0.070435544999782
278,induced,499,0.01,70f757917cd047f7b9ffea10bd69604a,0.06956410600014351
279,induced,499,0.01,3860a5122fee4174871d617842162871,0.07059131099958904
280,induced,415,0.02,fac58b5bc5964610b6b258faa42c6647,0.057789555999988806
281,induced,415,0.02,3d16db988feb44c1a516a2553b49843e,0.05817258400020364
282,induced,415,0.02,3e57dcd2db644829a90e36752499863a,0.05780154600051901
283,induced,415,0.02,56fa9c66f0e247c288a2559c9f185910,0.0578406160002487
284,induced,415,0.02,f98e881cd34a40f983f1843fc8562e87,0.05926846900001692
285,induced,415,0.02,38dff601c4bd47ee8873a7c812051e7c,0.0581288189996485
286,induced,415,0.02,2eadece4373f4a868f1724c4a97e4c92,0.05775332399934996
287,induced,415,0.02,9e5e4474608a4572a5c22ce30c4c8a45,0.06022522800049046
288,induced,415,0.02,a28ae44924574e11b761f620280fd8ac,0.05840958499993576
289,induced,415,0.02,8b0e56b1ba4b48b68693b95e6ce185d2,0.05895921699993778
290,induced,415,0.02,7a171c99801e483d93e448b5330e5bc2,0.05763818400009768
291,induced,415,0.02,db968efcc78a42f5b1e09a210ba30a5e,0.057567179999750806
292,induced,415,0.02,46993d400acc4f5b9b3354334c520b92,0.05785916299919336
293,induced,415,0.02,244e3f000fdd48e085c53813eceaaa8a,0.05761696700028551
294,induced,415,0.02,009dd7c9634d4e63b772eb19256069ec,0.0578506700003345
295,induced,415,0.02,3839fe5da78b40c2add2b90fbb1b9532,0.05779019400051766
296,induced,415,0.02,f569441980384eaeada913e1a8eaebac,0.05785081700014416
297,induced,415,0.02,5f4eb683fa604f4b84ffb90e0d396b33,0.057752798999899824
298,induced,415,0.02,bfa21b87eb83430e9f15efc81a1d0c77,0.057340415999533434
299,induced,415,0.02,b1fa66b6cab140e988e4e04b10ffd02b,0.05802663000031316
300,induced,355,0.03,a409718999504250861e9a900247d3d3,0.0497800470002403
301,induced,355,0.03,2c222d656ef047beafa5b4711496deaf,0.049503447000461165
302,induced,355,0.03,c8ca46a7b14945dcb0d96b2f19de7e38,0.04970691899961821
303,induced,355,0.03,496de32d9b9449ecb727d42458b2445e,0.049313696999888634
304,induced,355,0.03,9e1cfe4742414ba2a05643808e864760,0.04989945200031798
305,induced,355,0.03,49bdd6f073c143fd8af960cd1dcd2954,0.04924420600036683
306,induced,355,0.03,1ab7c259e7cd450c833e9e8879faf7c9,0.04983948300014163
307,induced,355,0.03,6731994dd0f44b5eb1140d1865439855,0.049393299000257684
308,induced,355,0.03,d4fe54e4d7a047139c379d560c2d5ba7,0.04993404700053361
309,induced,355,0.03,9e7c98fc4676428eb99e5b40ba7221a9,0.050063413999851036
310,induced,355,0.03,fd149b1a7e5a4f7d87f09ef8dd7fbdcd,0.04953081199982989
311,induced,355,0.03,a51e097b9aba4b54941ee675ef050068,0.04933389500001795
312,induced,355,0.03,0154c88affff46a1993b5d71ba27d365,0.04935539500002051
313,induced,355,0.03,968525c3838845dba00a2910d8203849,0.049294706999717164
314,induced,355,0.03,a7db45c9c88b491c963feb4ac8832308,0.04926555699967139
315,induced,355,0.03,c702673360ac4bef8ac99b6e21f9abeb,0.04921694900076545
316,induced,355,0.03,a996c06b5c4f408b8e008bc9fdeaf0b1,0.0493992090005122
317,induced,355,0.03,c2cb01177c0546bfb3817adf0e8ffc50,0.04953590500008431
318,induced,355,0.03,5eaa7abb0d8c4124bc130e3c3881b95f,0.04944941800022207
319,induced,355,0.03,4c1f7471e03f49be8f04149b0c1b3228,0.04931221600054414
320,induced,271,0.04,e539bfa580384148a5b5b64000fdec6b,0.03845107300003292
321,induced,271,0.04,1ec065598f3c475ba2045d790664ceb1,0.03808238999954483
322,induced,271,0.04,6c4b875d3098425ebbecf6f5dbb9ec6e,0.038186264000614756
323,induced,271,0.04,eb26a5cd115e4be6bd4e0823bb428c93,0.04033167499983392
324,induced,271,0.04,c1cba8b204d647c28b9e1f28597843f3,0.0381946239995159
325,induced,271,0.04,0ca5b38563f848679f45ca7e4e926f6c,0.03898247899996932
326,induced,271,0.04,846768dd9ec74c5989596dbeac3d0d3b,0.04164996700001211
327,induced,271,0.04,f4be171f15c44801b86240f86eb9faf8,0.03815004599982785
